"topic","category","type"
"CanadaLogin Password Criteria","What is CanadaLogin","Informational"
"What Is a Passkey?","What is CanadaLogin","Informational"
"What is 2-Step Verification?","What is CanadaLogin","Informational"
"What is CanadaLogin?","What is CanadaLogin","Informational"
"Changing a 2-Step Verification Phone Number","Account setup and how-to","Informational"
"Changing the 2-Step Verification Phone Number","Account setup and how-to","Informational"
"Changing the Contact Phone Number","Account setup and how-to","Informational"
"Changing the Email Address Associated With a CanadaLogin Account","Account setup and how-to","Informational"
"Deleting a 2-Step Verification Phone Number","Account setup and how-to","Informational"
"How to Create a CanadaLogin Account","Account setup and how-to","Informational"
"How to Sign In to a CanadaLogin Account - Without Migration","Account setup and how-to","Informational"
"How to Sign in to a CanadaLogin Account - With Migration from a GCKey","Account setup and how-to","Informational"
"How to Sign in to a CanadaLogin Account - With Migration from an Interac Sign-in Partner","Account setup and how-to","Informational"
"How to Sign in to an Account for a Program or Service that uses CanadaLogin","Account setup and how-to","Informational"
"Difficulties When Setting Up 2-Step Verification - Difficulties Creating a Passkey","2-step verification problems","Troubleshooting"
"Difficulties When Setting Up 2-Step Verification - Error Message Indicating That the Phone Number Is Invalid","2-step verification problems","Troubleshooting"
"Difficulties When Setting Up 2-Step Verification - The Client Did Not Receive the Initial 2-Step Verification Code","2-step verification problems","Troubleshooting"
"Difficulties When Signing In With 2-Step Verification - Difficulties Signing In With a Passkey","2-step verification problems","Troubleshooting"
"Difficulties When Signing In With 2-Step Verification - The Client Cannot Access the 2-Step Verification Phone Number","2-step verification problems","Troubleshooting"
"Difficulties When Signing In With 2-Step Verification - The Client Cannot Access the 2-Step Verification Phone Number or Their Passkey (Recovering 2-Step Authentication)","2-step verification problems","Troubleshooting"
"Difficulties When Signing In With 2-Step Verification - The Client Cannot Access the 2-Step Verification Phone Number or the Passkey (Recovering 2-Step Authentication)","2-step verification problems","Troubleshooting"
"Difficulties When Signing in With 2-Step Verification - The Client is Not Receiving 2-Step Verification Codes","2-step verification problems","Troubleshooting"
"Error Message Indicating That the 2-Step Verification Code Is Invalid","2-step verification problems","Troubleshooting"
"Difficulties When Entering or Verifying the Email Address - Error Message Indicating That the Email Address Entered Is Invalid","Email verification problems","Troubleshooting"
"Difficulties When Entering or Verifying the Email Address - Error Message Indicating That the Email Address Is Already Associated With a CanadaLogin Account","Email verification problems","Troubleshooting"
"Difficulties When Entering or Verifying the Email Address - Error Message Indicating That the One-Time Code Is Invalid","Email verification problems","Troubleshooting"
"Difficulties When Entering or Verifying the Email Address - The Client Cannot Find the One-Time Code in Their Email Inbox","Email verification problems","Troubleshooting"
"Difficulties When Creating a Password","Sign-in problems","Troubleshooting"
"Difficulties When Signing In - The Client Has Forgotten the Email Address Linked to Their CanadaLogin Account","Sign-in problems","Troubleshooting"
"Difficulties When Signing in - Error Message Concerning the Email Address","Sign-in problems","Troubleshooting"
"Difficulties When Signing in - Error Message Indicating the Email Address and Password Combination is Invalid","Sign-in problems","Troubleshooting"
"Difficulties When Signing in - The Client Has Forgotten Their Password (Password Reset Function)","Sign-in problems","Troubleshooting"
"Technical Difficulties Related to Migration - Signing In with a GCKey","Sign-in problems","Troubleshooting"
"Technical Difficulties Related to Migration - Signing In with an Interac Sign-in Partner","Sign-in problems","Troubleshooting"
"Requests for Detailed Information - Follow-Up Procedure","Follow-up requests","Troubleshooting"
"Access to Information and Privacy Online Request Service (AORS)","Partner and other services","Informational"
"ATIP Online Management Tools (AOMT)","Partner and other services","Informational"
"CED Client Space","Partner and other services","Informational"
"GC Digital Talent","Partner and other services","Informational"
"MyCGC","Partner and other services","Informational"
"PrairiesCan and PacifiCan Application Portal","Partner and other services","Informational"
"SCA - 1 800 O-Canada","Partner and other services","Informational"
"VAC Healthshare","Partner and other services","Informational"
"VAC Healthshare Joining Canada Login","Partner and other services","Informational"
